	Predator	Prey 
532	34	91
533	289	91
534	434	91
535	131	92
536	484	93
537	131	94
538	484	94
539	485	94
540	131	95
541	136	95
542	202	95
543	256	95
544	270	95
545	333	95
546	484	95
547	540	95
548	541	95
549	542	95
550	83	96
551	161	96
552	289	96
553	491	96
554	560	96
555	423	97
556	544	98
557	393	99
558	395	99
559	423	100
560	565	100
561	363	101
562	570	101
563	462	102
564	142	103
565	1	105
566	2	105
567	11	105
568	14	105
569	28	105
570	70	105
571	104	105
572	114	105
573	151	105
574	163	105
575	165	105
576	181	105
577	250	105
578	252	105
579	253	105
580	291	105
581	323	105
582	328	105
583	330	105
584	379	105
585	380	105
586	383	105
587	407	105
588	408	105
589	410	105
590	424	105
591	449	105
592	479	105
593	526	105
594	548	105
595	569	105
596	462	106
597	487	106
598	1	110
599	2	110
600	11	110
601	14	110
602	28	110
603	70	110
604	104	110
605	114	110
606	151	110
607	163	110
608	165	110
609	181	110
610	250	110
611	252	110
612	253	110
613	291	110
614	323	110
615	328	110
616	330	110
617	379	110
618	380	110
619	383	110
620	407	110
621	408	110
622	410	110
623	424	110
624	449	110
625	479	110
626	526	110
627	548	110
628	569	110
629	34	112
630	289	112
631	449	114
632	131	115
633	517	115
634	540	115
635	131	116
636	31	117
637	31	118
638	124	118
639	142	118
640	158	118
641	162	118
642	187	118
643	188	118
644	228	118
645	374	118
646	395	118
647	401	118
648	462	118
649	482	118
650	489	118
651	491	118
652	528	118
653	529	118
654	544	118
655	142	119
656	228	119
657	257	119
658	393	119
659	395	119
660	398	119
661	462	119
662	488	119
663	489	119
664	541	119
665	542	119
666	1	120
667	2	120
668	11	120
669	14	120
670	28	120
671	70	120
672	104	120
673	114	120
674	151	120
675	163	120
676	165	120
677	181	120
678	250	120
679	252	120
680	253	120
681	291	120
682	323	120
683	328	120
684	330	120
685	379	120
686	380	120
687	383	120
688	407	120
689	408	120
690	410	120
691	424	120
692	449	120
693	479	120
694	526	120
695	548	120
696	569	120
697	228	122
698	395	122
699	482	122
700	289	123
701	77	124
702	246	124
703	306	124
704	462	133
705	131	134
706	256	134
707	131	135
708	34	136
709	81	136
710	131	136
711	256	136
712	333	136
713	334	136
714	438	136
715	491	136
716	541	136
717	542	136
718	289	137
719	433	137
720	214	138
721	215	138
722	218	138
723	407	138
724	423	138
725	467	138
726	468	138
727	228	139
728	393	139
729	396	139
730	407	139
731	425	139
732	426	139
733	22	140
734	88	140
735	233	140
736	278	140
737	367	140
738	417	140
739	432	140
740	131	141
741	31	142
742	32	142
743	34	142
744	45	142
745	83	142
746	124	142
747	136	142
748	161	142
749	187	142
750	188	142
751	228	142
752	246	142
753	289	142
754	333	142
755	334	142
756	374	142
757	393	142
758	395	142
759	401	142
760	433	142
761	462	142
762	482	142
763	488	142
764	489	142
765	491	142
766	528	142
767	529	142
768	541	142
769	544	142
770	31	143
771	32	143
772	34	143
773	83	143
774	124	143
775	136	143
776	158	143
777	161	143
778	162	143
779	187	143
780	188	143
781	228	143
782	333	143
783	334	143
784	374	143
785	393	143
786	395	143
787	401	143
788	433	143
789	438	143
790	439	143
791	440	143
792	462	143
793	482	143
794	489	143
795	491	143
796	528	143
797	529	143
798	541	143
799	544	143
800	34	145
801	158	145
802	161	145
803	162	145
804	228	145
805	334	145
806	438	145
807	268	146
808	560	147
809	257	148
810	462	149
811	487	149
812	34	150
813	31	151
814	489	151
815	489	152
816	462	154
817	1	155
818	2	155
819	11	155
820	14	155
821	28	155
822	70	155
823	104	155
824	114	155
825	151	155
826	163	155
827	165	155
828	181	155
829	250	155
830	252	155
831	253	155
832	291	155
833	323	155
834	328	155
835	330	155
836	379	155
837	380	155
838	383	155
839	407	155
840	408	155
841	410	155
842	424	155
843	449	155
844	479	155
845	526	155
846	548	155
847	569	155
848	124	156
849	246	161
850	306	161
851	307	161
852	1	163
853	2	163
854	11	163
855	14	163
856	15	163
857	16	163
858	17	163
859	18	163
860	27	163
861	28	163
862	58	163
863	62	163
864	68	163
865	70	163
866	78	163
867	80	163
868	104	163
869	109	163
870	111	163
871	113	163
872	118	163
873	121	163
874	122	163
875	125	163
876	126	163
877	127	163
878	128	163
879	129	163
880	130	163
881	142	163
882	143	163
883	144	163
884	145	163
885	151	163
886	157	163
887	163	163
888	171	163
889	175	163
890	176	163
891	178	163
892	179	163
893	180	163
894	183	163
895	189	163
896	190	163
897	191	163
898	194	163
899	213	163
900	217	163
901	218	163
902	219	163
903	229	163
904	236	163
905	247	163
906	248	163
907	252	163
908	253	163
909	266	163
910	271	163
911	273	163
912	274	163
913	276	163
914	294	163
915	300	163
916	301	163
917	302	163
918	315	163
919	323	163
920	324	163
921	325	163
922	327	163
923	328	163
924	330	163
925	332	163
926	344	163
927	365	163
928	374	163
929	379	163
930	380	163
931	383	163
932	384	163
933	407	163
934	409	163
935	410	163
936	411	163
937	416	163
938	421	163
939	424	163
940	451	163
941	461	163
942	466	163
943	467	163
944	468	163
945	469	163
946	470	163
947	475	163
948	476	163
949	478	163
950	479	163
951	492	163
952	494	163
953	497	163
954	500	163
955	501	163
956	502	163
957	503	163
958	504	163
959	505	163
960	508	163
961	516	163
962	519	163
963	520	163
964	521	163
965	523	163
966	526	163
967	530	163
968	531	163
969	546	163
970	548	163
971	556	163
972	557	163
973	558	163
974	569	163
975	584	163
976	560	164
977	1	165
978	2	165
979	11	165
980	14	165
981	28	165
982	31	165
983	45	165
984	48	165
985	70	165
986	82	165
987	104	165
988	114	165
989	124	165
990	137	165
991	151	165
992	163	165
993	165	165
994	181	165
995	188	165
996	250	165
997	252	165
998	253	165
999	291	165
1000	323	165
1001	328	165
1002	330	165
1003	333	165
1004	374	165
1005	379	165
1006	380	165
1007	383	165
1008	401	165
1009	407	165
1010	408	165
1011	410	165
1012	424	165
1013	449	165
1014	479	165
1015	489	165
1016	526	165
1017	544	165
1018	548	165
1019	560	165
1020	565	165
1021	569	165
1022	49	166
1023	31	167
1024	47	167
1025	49	167
1026	50	167
1027	58	167
1028	83	167
1029	124	167
1030	125	167
1031	126	167
1032	127	167
1033	128	167
1034	129	167
1035	142	167
1036	143	167
1037	144	167
1038	145	167
1039	161	167
1040	187	167
1041	188	167
1042	213	167
1043	214	167
1044	215	167
1045	217	167
1046	218	167
1047	219	167
1048	228	167
1049	266	167
1050	325	167
1051	348	167
1052	364	167
1053	374	167
1054	395	167
1055	401	167
1056	423	167
1057	462	167
1058	466	167
1059	467	167
1060	468	167
1061	469	167
1062	470	167
1063	482	167
1064	489	167
1065	491	167
1066	528	167
1067	529	167
1068	544	167
1069	560	167
1070	257	168
1071	462	168
1072	487	168
1073	49	169
1074	58	170
1075	80	170
1076	125	170
1077	126	170
1078	127	170
1079	128	170
1080	129	170
1081	130	170
1082	142	170
1083	143	170
1084	144	170
1085	145	170
1086	213	170
1087	217	170
1088	218	170
1089	219	170
1090	247	170
1091	248	170
1092	266	170
1093	271	170
1094	273	170
1095	274	170
1096	276	170
1097	294	170
1098	325	170
1099	365	170
1100	466	170
1101	467	170
1102	468	170
1103	469	170
1104	470	170
1105	508	170
1106	530	170
1107	531	170
1108	1	171
1109	2	171
1110	11	171
1111	14	171
1112	15	171
1113	16	171
1114	17	171
1115	18	171
1116	27	171
1117	28	171
1118	31	171
1119	32	171
1120	34	171
1121	40	171
1122	45	171
1123	46	171
1124	48	171
1125	52	171
1126	58	171
1127	62	171
1128	65	171
1129	68	171
1130	70	171
1131	78	171
1132	81	171
1133	83	171
1134	104	171
1135	109	171
1136	111	171
1137	112	171
1138	113	171
1139	118	171
1140	121	171
1141	122	171
1142	124	171
1143	125	171
1144	126	171
1145	127	171
1146	128	171
1147	129	171
1148	131	171
1149	136	171
1150	142	171
1151	143	171
1152	144	171
1153	145	171
1154	151	171
1155	157	171
1156	161	171
1157	163	171
1158	171	171
1159	175	171
1160	176	171
1161	178	171
1162	179	171
1163	180	171
1164	183	171
1165	187	171
1166	188	171
1167	189	171
1168	190	171
1169	191	171
1170	194	171
1171	206	171
1172	213	171
1173	214	171
1174	215	171
1175	217	171
1176	218	171
1177	219	171
1178	228	171
1179	229	171
1180	236	171
1181	246	171
1182	252	171
1183	253	171
1184	265	171
1185	266	171
1186	268	171
1187	283	171
1188	285	171
1189	286	171
1190	289	171
1191	295	171
1192	300	171
1193	301	171
1194	302	171
1195	306	171
1196	307	171
1197	315	171
1198	318	171
1199	323	171
1200	324	171
1201	325	171
1202	327	171
1203	328	171
1204	330	171
1205	332	171
1206	335	171
1207	339	171
1208	344	171
1209	348	171
1210	364	171
1211	370	171
1212	374	171
1213	379	171
1214	380	171
1215	383	171
1216	384	171
1217	393	171
1218	395	171
1219	397	171
1220	399	171
1221	401	171
1222	405	171
1223	407	171
1224	409	171
1225	410	171
1226	411	171
1227	416	171
1228	421	171
1229	423	171
1230	424	171
1231	425	171
1232	426	171
1233	432	171
1234	439	171
1235	440	171
1236	449	171
1237	451	171
1238	461	171
1239	462	171
1240	466	171
1241	467	171
1242	468	171
1243	469	171
1244	470	171
1245	474	171
1246	475	171
1247	476	171
1248	478	171
1249	479	171
1250	480	171
1251	481	171
1252	482	171
1253	488	171
1254	489	171
1255	490	171
1256	491	171
1257	492	171
1258	494	171
1259	497	171
1260	500	171
1261	501	171
1262	502	171
1263	503	171
1264	504	171
1265	505	171
1266	516	171
1267	519	171
1268	520	171
1269	521	171
1270	523	171
1271	526	171
1272	528	171
1273	529	171
1274	541	171
1275	542	171
1276	544	171
1277	546	171
1278	548	171
1279	556	171
1280	557	171
1281	558	171
1282	562	171
1283	565	171
1284	569	171
1285	584	171
1286	58	172
1287	83	172
1288	124	172
1289	125	172
1290	126	172
1291	127	172
1292	128	172
1293	129	172
1294	136	172
1295	142	172
1296	143	172
1297	144	172
1298	145	172
1299	161	172
1300	213	172
1301	214	172
1302	215	172
1303	217	172
1304	218	172
1305	219	172
1306	228	172
1307	325	172
1308	334	172
1309	374	172
1310	423	172
1311	466	172
1312	467	172
1313	468	172
1314	469	172
1315	470	172
1316	491	172
1317	32	173
1318	47	173
1319	48	173
1320	49	173
1321	50	173
1322	83	173
1323	124	173
1324	158	173
1325	159	173
1326	161	173
1327	162	173
1328	228	173
1329	374	173
1330	393	173
1331	395	173
1332	396	173
1333	397	173
1334	425	173
1335	439	173
1336	440	173
1337	462	173
1338	488	173
1339	491	173
1340	542	173
1341	398	174
1342	31	175
1343	124	175
1344	187	175
1345	188	175
1346	228	175
1347	374	175
1348	395	175
1349	401	175
1350	462	175
1351	482	175
1352	489	175
1353	528	175
1354	529	175
1355	541	175
1356	544	175
1357	83	176
1358	228	176
1359	393	176
1360	395	176
1361	462	176
1362	482	176
1363	484	176
1364	485	176
1365	393	177
1366	395	177
1367	31	178
1368	83	179
1369	289	179
1370	489	179
1371	1	180
1372	2	180
1373	11	180
1374	14	180
1375	15	180
1376	16	180
1377	17	180
1378	18	180
1379	27	180
1380	28	180
1381	31	180
1382	62	180
1383	68	180
1384	70	180
1385	78	180
1386	104	180
1387	109	180
1388	111	180
1389	113	180
1390	118	180
1391	121	180
1392	122	180
1393	142	180
1394	151	180
1395	157	180
1396	163	180
1397	171	180
1398	175	180
1399	176	180
1400	178	180
1401	179	180
1402	180	180
1403	183	180
1404	189	180
1405	190	180
1406	191	180
1407	194	180
1408	229	180
1409	236	180
1410	252	180
1411	253	180
1412	300	180
1413	301	180
1414	302	180
1415	315	180
1416	323	180
1417	324	180
1418	327	180
1419	328	180
1420	330	180
1421	332	180
1422	344	180
1423	379	180
1424	380	180
1425	383	180
1426	384	180
1427	407	180
1428	409	180
1429	410	180
1430	411	180
1431	416	180
1432	421	180
1433	424	180
1434	451	180
1435	461	180
1436	475	180
1437	476	180
1438	478	180
1439	479	180
1440	492	180
1441	494	180
1442	497	180
1443	500	180
1444	501	180
1445	502	180
1446	503	180
1447	504	180
1448	505	180
1449	516	180
1450	519	180
1451	520	180
1452	521	180
1453	523	180
1454	526	180
1455	546	180
1456	548	180
1457	556	180
1458	557	180
1459	558	180
1460	569	180
1461	584	180
1462	22	182
1463	88	182
1464	233	182
1465	278	182
1466	367	182
1467	417	182
1468	432	182
1469	377	184
1470	560	185
1471	412	186
1472	77	188
1473	306	188
1474	214	191
1475	215	191
1476	218	191
1477	467	191
1478	468	191
1479	22	192
1480	88	192
1481	233	192
1482	278	192
1483	367	192
1484	393	192
1485	395	192
1486	417	192
1487	432	192
1488	541	192
1489	542	192
1490	131	193
1491	382	193
1492	484	193
1493	485	193
1494	31	194
1495	124	194
1496	131	194
1497	136	194
1498	187	194
1499	188	194
1500	228	194
1501	256	194
1502	270	194
1503	306	194
1504	307	194
1505	333	194
1506	334	194
1507	374	194
1508	395	194
1509	401	194
1510	439	194
1511	440	194
1512	462	194
1513	482	194
1514	484	194
1515	485	194
1516	489	194
1517	517	194
1518	528	194
1519	529	194
1520	540	194
1521	541	194
1522	542	194
1523	544	194
1524	423	195
1525	423	196
1526	76	197
1527	268	198
1528	541	199
1529	542	199
1530	31	200
1531	31	201
1532	124	201
1533	187	201
1534	188	201
1535	228	201
1536	374	201
1537	395	201
1538	401	201
1539	462	201
1540	482	201
1541	489	201
1542	528	201
1543	529	201
1544	544	201
1545	289	203
1546	560	203
1547	32	204
1548	34	204
1549	228	204
1550	435	204
1551	491	204
1552	542	204
1553	491	205
1554	34	206
1555	81	206
1556	131	206
1557	136	206
1558	246	206
1559	289	206
1560	333	206
1561	433	206
1562	434	206
1563	462	206
1564	491	206
1565	34	207
1566	81	207
1567	136	207
1568	462	207
1569	31	208
1570	32	208
1571	34	208
1572	124	208
1573	131	208
1574	136	208
1575	187	208
1576	188	208
1577	202	208
1578	228	208
1579	256	208
1580	270	208
1581	289	208
1582	307	208
1583	333	208
1584	334	208
1585	374	208
1586	393	208
1587	395	208
1588	401	208
1589	439	208
1590	440	208
1591	462	208
1592	482	208
1593	484	208
1594	485	208
1595	488	208
1596	489	208
1597	491	208
1598	517	208
1599	528	208
1600	529	208
1601	540	208
1602	541	208
1603	542	208
1604	544	208
1605	565	209
1606	396	210
1607	542	211
1608	31	212
1609	137	212
1610	289	212
1611	489	212
1612	34	213
1613	136	213
1614	462	213
1615	542	213
1616	31	214
1617	32	214
1618	34	214
1619	124	214
1620	136	214
1621	187	214
1622	188	214
1623	228	214
1624	289	214
1625	334	214
1626	374	214
1627	395	214
1628	401	214
1629	462	214
1630	482	214
1631	489	214
1632	491	214
1633	528	214
1634	529	214
1635	544	214
1636	34	215
1637	136	215
1638	334	215
1639	395	215
1640	438	215
1641	462	215
1642	491	215
1643	541	215
1644	542	215
1645	136	216
1646	334	216
1647	541	216
1648	228	217
1649	395	217
1650	462	217
1651	31	218
1652	32	218
1653	34	218
1654	83	218
1655	124	218
1656	136	218
1657	187	218
1658	188	218
1659	228	218
1660	246	218
1661	257	218
1662	289	218
1663	333	218
1664	334	218
1665	374	218
1666	395	218
1667	401	218
1668	462	218
1669	482	218
1670	489	218
1671	491	218
1672	528	218
1673	529	218
1674	541	218
1675	544	218
1676	31	219
1677	124	219
1678	187	219
1679	188	219
1680	228	219
1681	334	219
1682	374	219
1683	395	219
1684	401	219
1685	462	219
1686	482	219
1687	489	219
1688	528	219
1689	529	219
1690	544	219
1691	34	220
1692	334	220
1693	439	220
1694	440	220
1695	377	221
1696	393	222
1697	426	222
1698	542	222
1699	4	223
1700	5	223
1701	42	223
1702	376	223
1703	429	223
1704	4	224
1705	5	224
1706	42	224
1707	376	224
1708	429	224
1709	4	225
1710	5	225
1711	42	225
1712	376	225
1713	429	225
1714	377	226
1715	131	227
1716	484	227
1717	541	227
1718	76	228
1719	306	228
1720	423	230
1721	81	231
1722	433	231
1723	434	231
1724	491	231
1725	431	232
1726	22	233
1727	88	233
1728	233	233
1729	278	233
1730	367	233
1731	417	233
1732	432	233
1733	491	233
1734	435	234
1735	491	234
1736	22	235
1737	88	235
1738	233	235
1739	278	235
1740	367	235
1741	417	235
1742	432	235
1743	228	236
1744	334	236
1745	529	237
1746	131	238
1747	136	238
1748	153	238
1749	270	238
1750	394	238
1751	439	238
1752	440	238
1753	462	238
1754	484	238
1755	517	238
1756	540	238
1757	131	239
1758	131	240
1759	32	241
1760	131	241
1761	136	241
1762	158	241
1763	162	241
1764	202	241
1765	256	241
1766	270	241
1767	333	241
1768	439	241
1769	440	241
1770	462	241
1771	482	241
1772	484	241
1773	541	241
1774	34	242
1775	131	242
1776	136	242
1777	256	242
1778	333	242
1779	484	242
1780	542	242
1781	131	243
1782	256	243
1783	484	243
1784	131	244
1785	439	244
1786	484	244
1787	377	245
1788	392	246
1789	395	249
1790	541	249
1791	542	249
1792	31	250
1793	228	250
1794	395	250
1795	489	250
1796	124	251
1797	228	251
1798	374	251
1799	393	251
1800	395	251
1801	396	251
1802	397	251
1803	482	251
1804	58	252
1805	125	252
1806	126	252
1807	127	252
1808	128	252
1809	129	252
1810	142	252
1811	143	252
1812	144	252
1813	145	252
1814	158	252
1815	162	252
1816	213	252
1817	217	252
1818	218	252
1819	219	252
1820	325	252
1821	334	252
1822	466	252
1823	467	252
1824	468	252
1825	469	252
1826	470	252
1827	31	253
1828	228	254
1829	393	254
1830	395	254
1831	425	254
1832	228	255
1833	257	255
1834	395	255
1835	32	257
1836	131	257
1837	136	257
1838	257	257
1839	462	257
1840	542	257
1841	560	258
1842	560	259
1843	4	260
1844	5	260
1845	42	260
1846	376	260
1847	429	260
1848	22	261
1849	88	261
1850	233	261
1851	278	261
1852	367	261
1853	417	261
1854	432	261
1855	22	262
1856	88	262
1857	233	262
1858	278	262
1859	367	262
1860	417	262
1861	432	262
1862	22	263
1863	88	263
1864	233	263
1865	278	263
1866	367	263
1867	417	263
1868	432	263
1869	4	264
1870	5	264
1871	42	264
1872	376	264
1873	429	264
1874	31	265
1875	32	265
1876	34	265
1877	124	265
1878	131	265
1879	136	265
1880	158	265
1881	161	265
1882	162	265
1883	187	265
1884	188	265
1885	228	265
1886	256	265
1887	270	265
1888	289	265
1889	306	265
1890	307	265
1891	333	265
1892	374	265
1893	382	265
1894	395	265
1895	401	265
1896	439	265
1897	440	265
1898	445	265
1899	462	265
1900	482	265
1901	489	265
1902	491	265
1903	517	265
1904	528	265
1905	529	265
1906	541	265
1907	542	265
1908	544	265
1909	31	266
1910	32	266
1911	34	266
1912	83	266
1913	124	266
1914	136	266
1915	158	266
1916	161	266
1917	162	266
1918	228	266
1919	334	266
1920	393	266
1921	395	266
1922	423	266
1923	425	266
1924	438	266
1925	462	266
1926	488	266
1927	491	266
1928	541	266
1929	542	266
1930	1	267
1931	2	267
1932	11	267
1933	14	267
1934	28	267
1935	70	267
1936	104	267
1937	114	267
1938	151	267
1939	163	267
1940	165	267
1941	181	267
1942	250	267
1943	252	267
1944	253	267
1945	291	267
1946	323	267
1947	328	267
1948	330	267
1949	379	267
1950	380	267
1951	383	267
1952	407	267
1953	408	267
1954	410	267
1955	424	267
1956	449	267
1957	479	267
1958	526	267
1959	548	267
1960	569	267
1961	268	268
1962	22	269
1963	88	269
1964	233	269
1965	278	269
1966	367	269
1967	417	269
1968	432	269
1969	334	272
1970	462	272
1971	487	272
1972	462	275
1973	257	277
1974	22	279
1975	88	279
1976	233	279
1977	278	279
1978	367	279
1979	417	279
1980	432	279
1981	377	280
1982	565	280
1983	124	281
1984	228	281
1985	374	281
1986	393	281
1987	394	281
1988	395	281
1989	396	281
1990	397	281
1991	398	281
1992	425	281
1993	462	281
1994	488	281
1995	541	281
1996	542	281
1997	52	282
1998	423	282
1999	32	283
2000	34	283
2001	81	283
2002	83	283
2003	136	283
2004	161	283
2005	289	283
2006	423	283
2007	433	283
2008	434	283
2009	462	283
2010	491	283
2011	542	283
2012	34	284
2013	228	284
2014	435	284
2015	491	284
2016	542	284
2017	34	285
2018	81	285
2019	136	285
2020	289	285
2021	433	285
2022	434	285
2023	491	285
2024	34	286
2025	136	286
2026	289	286
2027	333	286
2028	434	286
2029	435	286
2030	438	286
2031	491	286
2032	541	286
2033	542	286
2034	334	287
2035	131	288
2036	228	288
2037	77	289
2038	306	289
2039	423	290
2040	1	291
2041	2	291
2042	11	291
2043	14	291
2044	28	291
2045	70	291
2046	104	291
2047	114	291
2048	142	291
2049	151	291
2050	163	291
2051	165	291
2052	181	291
2053	250	291
2054	252	291
2055	253	291
2056	291	291
2057	323	291
2058	328	291
2059	330	291
2060	379	291
2061	380	291
2062	383	291
2063	407	291
2064	408	291
2065	410	291
2066	424	291
2067	449	291
